Fecha,Super,Regular,Diesel,Kerosene
2017-01-02 00:00:00,88.66,80.5,71.53,51.59
2017-01-09 00:00:00,89.68,81.71,72.11,52.24
2017-01-16 00:00:00,90.25,82.45,72.3,52.66
2017-01-23 00:00:00,90.53,82.52,72.09,52.75
2017-01-30 00:00:00,90.43,82.28,71.96,52.85
2017-02-06 00:00:00,89.75,81.41,71.67,52.82
2017-02-13 00:00:00,89.06,80.75,71.58,52.97
2017-02-20 00:00:00,88.59,80.37,71.69,53.18
2017-02-27 00:00:00,88.53,80.69,72.02,53.56
2017-03-06 00:00:00,88.32,80.61,72.05,53.61
2017-03-13 00:00:00,87.87,80.17,71.68,53.15
2017-03-20 00:00:00,88.07,79.63,70.96,52.35
2017-03-27 00:00:00,86.89,79.39,70.26,51.56
2017-04-03 00:00:00,86.56,79.09,69.61,50.88
2017-04-10 00:00:00,87.14,79.61,69.46,50.73
2017-04-17 00:00:00,87.14,80.58,70.24,51.51
2017-04-24 00:00:00,88.65,80.93,70.63,51.89
2017-05-01 00:00:00,88.83,81.04,70.86,52.12
2017-05-08 00:00:00,88.12,79.98,70.25,51.59
2017-05-15 00:00:00,87.21,78.54,69.3,50.64
2017-05-22 00:00:00,86.79,77.59,68.62,49.81
2017-05-29 00:00:00,86.98,77.59,68.77,49.85
2017-06-05 00:00:00,87.31,77.78,68.81,49.81
2017-06-12 00:00:00,87.4,78.12,68.74,49.58
2017-06-19 00:00:00,86.86,78.2,68.43,49.44
2017-06-26 00:00:00,85.81,77.67,67.57,48.3
2017-07-03 00:00:00,84.7,77.1,66.65,47.31
2017-07-10 00:00:00,84.48,77.14,66.62,47.31
2017-07-17 00:00:00,84.4,77.25,66.77,47.69
2017-07-24 00:00:00,85.01,77.9,67.3,48.45
2017-07-31 00:00:00,85.84,78.58,68.2,49.54
2017-08-07 00:00:00,86.9,79.18,69.27,50.76
2017-08-14 00:00:00,87.7,79.56,70.21,51.74
2017-08-21 00:00:00,87.96,79.67,70.74,52.31
2017-08-28 00:00:00,88.23,79.94,71.12,52.76
2017-09-04 00:00:00,89.29,81.19,71.46,53.97
2017-09-11 00:00:00,91.07,81.49,72.25,55.41
2017-09-18 00:00:00,92.77,81.49,73.08,56.39
2017-09-25 00:00:00,93.9,82.06,74.19,57.49
2017-10-02 00:00:00,94.55,82.32,75.25,58.13
2017-10-09 00:00:00,92.69,80.99,75.25,56.93
2017-10-16 00:00:00,90.84,81.3,75.02,56.09
2017-10-23 00:00:00,90.23,81.91,75.17,55.9
2017-10-30 00:00:00,90.61,82.02,75.17,55.75
2017-11-06 00:00:00,91.41,82.89,75.47,55.9
2017-11-13 00:00:00,91.41,82.89,75.47,55.9
2017-12-18 00:00:00,91.41,82.89,75.47,55.9
2018-01-01 00:00:00,91.97,83.57,76.15,56.96
2018-01-08 00:00:00,92.39,84.59,77.44,58.1
2018-01-15 00:00:00,93.64,85.69,78.92,60.07
2018-01-22 00:00:00,94.66,87.21,80.17,61.77
2018-01-29 00:00:00,96.02,88.3,81.11,62.45
2018-02-05 00:00:00,96.89,88.87,81.45,63.17
2018-02-12 00:00:00,97.27,89.21,81.3,62.9
2018-02-19 00:00:00,96.74,88.46,80.39,62.04
2018-02-26 00:00:00,96.21,87.85,80.01,61.66
2018-03-05 00:00:00,95.42,87.21,79.45,61.17
2018-03-12 00:00:00,94.74,86.41,78.84,60.67
2018-03-19 00:00:00,94.28,86.22,78.65,60.48
2018-03-26 00:00:00,95.19,87.21,79.07,60.71
2018-04-02 00:00:00,95.84,87.66,79.07,61.2
2018-04-09 00:00:00,96.48,88.15,79.33,61.73
2018-04-16 00:00:00,96.48,88.15,80.32,62.34
2018-04-23 00:00:00,97.2,88.6,81.42,63.59
2018-04-30 00:00:00,97.46,89.02,82.05,64.42
2018-05-07 00:00:00,98.52,90.01,83,65.18
2018-05-14 00:00:00,99.32,91.13,84.06,66.31
2018-05-21 00:00:00,100.42,92.43,85.35,67.52
2018-05-28 00:00:00,101.32,93.15,86.26,68.28
2018-06-04 00:00:00,101.55,93.34,86.64,68.58
2018-06-11 00:00:00,101.89,93.22,86.9,68.85
2018-06-18 00:00:00,101.81,92.72,86.64,68.61
2018-06-25 00:00:00,101.21,91.7,85.89,68.11
2018-07-02 00:00:00,100.55,91.36,85.4,67.69
2018-07-09 00:00:00,100.35,91.34,85.3,67.49
2018-07-16 00:00:00,100.45,91.79,85.35,67.56
2018-07-23 00:00:00,100.42,91.78,85.25,67.51
2018-07-30 00:00:00,100.53,91.79,85.23,67.56
2018-08-06 00:00:00,100.9,92.2,85.23,67.64
2018-08-13 00:00:00,100.68,92.47,84.86,67.41
2018-08-20 00:00:00,100.68,92.5,84.86,67.45
2018-08-27 00:00:00,100.68,92.81,85.09,67.79
2018-09-03 00:00:00,100.68,92.88,85.43,68.05
2018-09-10 00:00:00,100.64,92.92,85.99,68.92
2018-09-17 00:00:00,100.79,93.15,86.49,69.11
2018-09-24 00:00:00,101.29,93.53,87.24,69.61
2018-10-01 00:00:00,101.89,93.87,87.81,69.95
2018-10-08 00:00:00,102.8,94.4,88.64,70.59
2018-10-15 00:00:00,103.48,94.78,89.48,71.31
2018-10-22 00:00:00,103.33,94.51,89.93,71.65
2018-10-29 00:00:00,103.03,94.13,90.16,71.88
2018-11-05 00:00:00,101.82,93.03,90.01,71.76
2018-11-12 00:00:00,98.83,90.2,88.95,70.7
2018-11-19 00:00:00,96.74,88.04,87.62,69.38
2018-11-26 00:00:00,95.07,86.22,86.3,68.09
2018-12-03 00:00:00,93.3,84.44,84.44,67.79
2018-12-10 00:00:00,92.2,83.38,83,67.26
2018-12-17 00:00:00,90.92,82.32,81.07,66.16
2018-12-24 00:00:00,89.78,81.26,79.14,65.1
2018-12-31 00:00:00,89.76,80.24,78.12,64.04
2019-01-07 00:00:00,88.47,79.45,76.49,62.94
2019-01-14 00:00:00,86.98,78.99,76.38,62.41
2019-01-21 00:00:00,86.87,78.8,76.65,62.19
2019-01-28 00:00:00,87.36,78.8,77.33,62.79
2019-02-04 00:00:00,87.93,79.33,78.31,63.74
2019-02-11 00:00:00,88.8,80.13,79.64,64.99
2019-02-18 00:00:00,89.44,80.66,80.2,65.4
2019-02-25 00:00:00,90.04,81.23,80.81,65.4
2019-03-04 00:00:00,91.03,82.47,81.6,65.4
2019-03-11 00:00:00,92.28,83.8,82.21,65.9
2019-03-18 00:00:00,94.1,85.5,82.74,66.28
2019-03-25 00:00:00,96.02,86.9,83.08,66.43
2019-04-01 00:00:00,97.62,87.81,83.08,66.43
2019-04-08 00:00:00,99.09,88.91,83.08,66.43
2019-04-15 00:00:00,100.34,90.2,83.19,66.5
2019-04-22 00:00:00,101.13,91.18,83.69,67.03
2019-04-29 00:00:00,101.48,91.93,84.14,67.49
2019-05-06 00:00:00,101.74,92.73,84.56,67.87
2019-05-13 00:00:00,101.48,92.54,84.82,66.24
2019-05-20 00:00:00,100.79,92.01,84.93,66.58
2019-05-27 00:00:00,99.77,91.33,84.71,66.54
2019-06-03 00:00:00,99.09,90.73,84.25,66.24
2019-06-10 00:00:00,98.03,89.7,83.16,65.21
2019-06-17 00:00:00,97.05,88.64,82.1,64.19
2019-06-24 00:00:00,95.76,86.6,80.58,63.06
2019-07-01 00:00:00,95.19,85.84,79.71,62.19
2019-07-08 00:00:00,95.8,85.88,79.86,62.41
2019-07-15 00:00:00,97.05,86.71,80.39,63.17
2019-07-22 00:00:00,98.33,87.81,81,64.04
2019-07-29 00:00:00,98.86,88.38,81.34,64.61
2019-08-05 00:00:00,98.71,88.15,81.15,64.61
2019-08-12 00:00:00,97.54,87.28,80.7,64.04
2019-08-19 00:00:00,95.68,86,80.05,63.06
2019-08-26 00:00:00,94.85,85.5,79.82,62.68
2019-09-02 00:00:00,93.94,84.97,79.41,62.07
2019-09-09 00:00:00,93.34,84.59,79.41,61.81
2019-09-16 00:00:00,93.83,85.28,80.17,62.3
2019-09-23 00:00:00,94.66,86.07,81.11,63.02
2019-09-30 00:00:00,95.53,86.56,81.87,63.63
2019-10-07 00:00:00,96.03,86.56,82.29,63.93
2019-10-14 00:00:00,96.37,86.26,82.4,64.04
2019-10-21 00:00:00,96.63,85.88,82.29,63.97
2019-10-28 00:00:00,96.25,85.62,81.94,63.66
2019-11-04 00:00:00,96.44,85.77,81.76,63.51
2019-11-11 00:00:00,96.82,86.45,81.68,63.51
2019-11-18 00:00:00,96.44,86.64,81.34,63.25
2019-11-25 00:00:00,96.4,86.68,80.92,62.79
2019-12-02 00:00:00,96.48,86.94,80.88,62.68
2019-12-09 00:00:00,95.99,86.64,80.81,62.64
2019-12-16 00:00:00,95.68,86.6,80.89,62.28
2019-12-23 00:00:00,95.84,86.94,81.49,63.68
2019-12-30 00:00:00,96.18,87.47,82.13,64.04
2020-01-06 00:00:00,96.55,87.55,82.51,64.5
2020-01-13 00:00:00,97.31,88.23,83.12,65.18
2020-01-20 00:00:00,97.43,88.31,82.66,64.91
2020-01-27 00:00:00,97.12,87.92,81.79,64.12
2020-02-03 00:00:00,95.61,86.45,79.83,62.04
2020-02-10 00:00:00,93.87,85.09,77.52,59.46
2020-02-17 00:00:00,93.19,84.29,75.93,57.65
2020-02-24 00:00:00,93.26,84.18,75.28,56.74
2020-03-02 00:00:00,93.15,84.22,74.41,55.6
2020-03-09 00:00:00,92.88,83.95,73.92,54.96
2020-03-16 00:00:00,90.54,81.38,71.91,52.5
2020-03-23 00:00:00,85.28,76.08,68.47,48.14
2020-03-30 00:00:00,78.39,69.23,65.18,43.26
2020-04-06 00:00:00,72.82,64.04,62.34,39.21
2020-04-13 00:00:00,68.43,60.22,60.18,36.37
2020-04-20 00:00:00,66.92,59.27,59.16,35.01
2020-04-27 00:00:00,66.62,59.54,57.99,34.37
2020-05-04 00:00:00,67.22,60.26,55.68,32.7
2020-05-11 00:00:00,68.43,61.47,54.54,32.1
2020-05-18 00:00:00,69.83,62.53,53.9,32.13
2020-05-25 00:00:00,72.1,64.31,54.43,33.31
2020-06-01 00:00:00,73.84,65.82,55.9,35.09
2020-06-08 00:00:00,75.85,67.86,57.64,37.32
2020-06-15 00:00:00,77.59,69.42,59.31,39.1
2020-06-22 00:00:00,78.73,71.27,60.75,40.57
2020-06-29 00:00:00,79.83,72.56,61.85,41.6
2020-07-06 00:00:00,79.89,73.62,62.94,42.51
2020-07-13 00:00:00,81.19,74,63.59,43
2020-07-20 00:00:00,81.6,74.34,64.16,43.53
2020-07-27 00:00:00,81.76,74.37,64.61,43.94
2020-08-03 00:00:00,81.68,74.6,65.1,44.55
2020-08-10 00:00:00,81.26,74.45,65.21,44.89
2020-08-17 00:00:00,81.04,74.49,65.18,45.08
2020-08-24 00:00:00,81.3,74.98,65.22,45.19
2020-08-31 00:00:00,81.87,75.59,65.06,45.19
2020-09-07 00:00:00,82.4,76,64.69,44.97
2020-09-14 00:00:00,82.36,75.74,64.04,44.36
2020-09-21 00:00:00,82.11500000000001,75.32,62.755,43.165
2020-09-28 00:00:00,81.64,74.75,61.54,41.98
2020-10-12 00:00:00,81.72,74.83,61.47,41.9
2020-10-19 00:00:00,81.98,75.25,61.88,42.39
2020-10-26 00:00:00,81.42,74.79,61.88,42.66
2020-11-02 00:00:00,80.58,74.07,61.88,42.77
2020-11-09 00:00:00,79.71,73.43,61.88,42.77
2020-11-16 00:00:00,79.18,73.01,62.11,42.92
2020-11-23 00:00:00,78.84,72.78,62.38,42.96
2020-11-30 00:00:00,79.18,73.05,63.17,43.6
2020-12-07 00:00:00,79.98,73.81,64.27,44.66
2020-12-14 00:00:00,81.11,74.79,65.59,45.99
2020-12-21 00:00:00,82.21,75.59,66.77,47.2
2020-12-28 00:00:00,83.34,76.53,67.86,48.33
2021-01-04 00:00:00,84.06,77.36,68.47,48.94
2021-01-11 00:00:00,84.63,77.97,68.66,49.05
2021-01-18 00:00:00,86.22,79.6,69.68,50
2021-01-25 00:00:00,86.9,80.51,70.14,50.34
2021-02-01 00:00:00,88.08,81.76,70.74,50.68
2021-02-08 00:00:00,89.25,83.04,71.69,51.36
2021-02-15 00:00:00,90.16,83.88,72.71,52.19
2021-02-22 00:00:00,91.29,84.94,73.69,53.07
2021-03-01 00:00:00,93.07,86.75,75.32,54.54
2021-03-08 00:00:00,94.7,88.34,76.65,55.8
2021-03-15 00:00:00,96.59,90.08,78.05,56.93
2021-03-22 00:00:00,98.14,91.79,78.96,57.57
2021-03-29 00:00:00,97.96,91.56,78.61,57.08
2021-04-05 00:00:00,98.07,91.52,78.16,56.62
2021-04-12 00:00:00,97.92,91.29,77.59,56.21
2021-04-19 00:00:00,97.35,90.73,76.95,55.71
2021-04-26 00:00:00,97.58,90.76,77.02,55.87
2021-05-03 00:00:00,97.99,91.03,77.59,56.4
2021-05-10 00:00:00,98.52,91.6,78.58,57.15
2021-05-17 00:00:00,99.28,92.28,79.83,58.02
2021-05-24 00:00:00,100.075,92.58,81.115,58.595
2021-06-07 00:00:00,100.49,92.85,82.06,59.16
2021-06-14 00:00:00,100.91,93,82.7,59.58
2021-06-21 00:00:00,100.76,92.96,82.78,59.84
2021-06-28 00:00:00,101.4,93.6,83.31,60.64
2021-07-05 00:00:00,102.23,94.21,83.76,61.28
2021-07-12 00:00:00,102.35,94.21,83.53,61.39
2021-07-19 00:00:00,103.1,94.74,83.65,61.81
2021-07-26 00:00:00,103.38499999999999,94.74000000000001,83.195,61.43
2021-08-09 00:00:00,103.71,95.08,83.08,61.24
2021-08-16 00:00:00,103.59,95.15,82.66,60.67
2021-08-23 00:00:00,103.33,95.19,82.44,60.37
2021-08-30 00:00:00,102.95,95.19,82.13,60.11
2021-09-06 00:00:00,103.33,95.72,82.44,60.45
2021-09-13 00:00:00,103.44,95.99,82.89,60.98
2021-09-20 00:00:00,103.63,96.37,83.46,61.85
2021-09-27 00:00:00,104.43,97.24,84.71,63.36
2021-10-04 00:00:00,104.69,97.46,85.96,64.76
2021-10-11 00:00:00,105.53,98.22,87.55,66.5
2021-10-25 00:00:00,105.53,98.22,87.55,68.51
2021-11-01 00:00:00,105.53,98.22,87.55,71.65
2021-11-08 00:00:00,105.53,98.22,87.55,72.14
2021-11-15 00:00:00,105.53,98.22,87.55,72.17
2021-11-22 00:00:00,105.53,98.22,87.55,71.57
2021-11-29 00:00:00,105.53,98.22,87.55,70.93
2021-12-06 00:00:00,105.53,98.22,87.55,69.3
2021-12-13 00:00:00,105.53,98.22,87.55,68.21
2021-12-20 00:00:00,105.41,97.92,87.4,67.37
2021-12-27 00:00:00,105.07,97.88,87.4,67.41
2022-01-03 00:00:00,105.22,98.18,87.81,67.83
2022-01-10 00:00:00,105.22,98.18,87.81,69.57
2022-01-17 00:00:00,105.22,98.18,87.81,71.42
2022-01-24 00:00:00,107.57,100.53,90.61,73.28
2022-01-31 00:00:00,111.92,104.73,95.76,75.47
2022-02-07 00:00:00,113.92,106.55,98.11,77.66
2022-02-14 00:00:00,106.43,98.9,90.46,79.97
2022-02-21 00:00:00,108.29,100.75,92.13,81.3
2022-02-28 00:00:00,109.51,101.94,93,82.06
2022-03-07 00:00:00,111.89,104.32,96.3,85.02
2022-03-14 00:00:00,114.57,107.04,98.97,89.21
2022-03-21 00:00:00,116.78,108.93,101.86,91.79
2022-03-28 00:00:00,119.65,111.51,106.29,97.73
2022-04-04 00:00:00,121.46,113.09,110.38,102.92
2022-04-11 00:00:00,120.02,111.25,111.87,103.8
2022-04-18 00:00:00,120.69,111.41,113.91,107.35
2022-04-25 00:00:00,121.32,111.72,116.16,110.89
2022-05-02 00:00:00,121.53,111.37,118.27,112.14
2022-05-09 00:00:00,124.03,112.74,121.64,115.96
2022-05-16 00:00:00,128.19,115.88,124.43,118.98
2022-05-23 00:00:00,131.85,118.12,125.09,117.86
2022-05-30 00:00:00,135.56,120.57,124.02,115.99
2022-06-06 00:00:00,138.96,123.27,122.35,114
2022-06-13 00:00:00,142.76,126.11,122.74,113.33
2022-06-20 00:00:00,145,126.39,124.5,115.03
2022-06-27 00:00:00,145.94,126.39,124.5,117.85
2022-07-04 00:00:00,146.57,126.39,124.5,119.86
2022-07-11 00:00:00,143.79,123.9,124.5,118.23
2022-07-18 00:00:00,138.14,119.11,124.5,115.07
2022-07-25 00:00:00,132.51,115.63,122.42,110.59
2022-08-01 00:00:00,127.49,112.43,118.32,106.59
2022-08-08 00:00:00,121.82,109.05,115.41,103.77
2022-08-15 00:00:00,118.24,107.07,113.11,101.59
2022-08-22 00:00:00,116.07,105.93,111.92,100.24
2022-08-29 00:00:00,114.51,104.73,113.06,100.92
2022-09-05 00:00:00,112.95,102.46,113.91,101.2
2022-09-12 00:00:00,112.45,101.35,115.02,101.91
2022-09-19 00:00:00,111.88,100.24,115.41,102.05
2022-09-26 00:00:00,111.49,99.81,113.84,101.01
2022-10-03 00:00:00,110.73,99.23,110.58,99.53
2022-10-10 00:00:00,112.68,101.35,110.94,100.58
2022-10-17 00:00:00,114.84,103.65,114.06,102.81
2022-10-24 00:00:00,116.67,104.8,115.89,105.09
2022-10-31 00:00:00,118.77,106.4,118.19,106.42
2022-11-07 00:00:00,119.48,106.8,120.25,106.46
2022-11-14 00:00:00,118.87,105.37,120.36,104.14
2022-11-21 00:00:00,116.9,103.29,116.3,101.63
2022-11-28 00:00:00,114.49,101.64,114.14,99.95
2022-12-05 00:00:00,111.3,99.05,110.88,97.11
2022-12-12 00:00:00,107.17,95.93,105.23,92.72
2022-12-19 00:00:00,103.39,93.47,101.83,90.79
2022-12-26 00:00:00,101.35,92.37,99.47,88.98
